"","diff_otu","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Study","CI_low","CI_hig","Significant","taxonomy","Taxonomy","ID_Taxonomy","Taxon","diff_oral","Taxon_oral","taxon_oral","absFC"
"2","1007646","67.9677935166759",-0.380972231231455,"0.339834379297875","-1.12105264928926","0.262265452319627",0.477746572649946,"PRJNA375772_Inner_Mongolia",-1.04364927086231,0.281704808399401,"ns","k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__"," g__Acinetobacter","1007646 
  g__Acinetobacter","1007646; g__Acinetobacter","*","* 1007646; g__Acinetobacter","* 1007646 
  g__Acinetobacter",0.380972231231455
"32","1069168","1.4040010974989",0.37525547969323,"0.282458060894844","1.32853521157937","0.184001359198432",NA,"PRJNA375772_Inner_Mongolia",-0.175537739051716,0.926048698438177,"ns","k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__"," g__Prevotella","1069168 
  g__Prevotella","1069168; g__Prevotella",""," 1069168; g__Prevotella"," 1069168 
  g__Prevotella",0.37525547969323
"138","4432270","4.94684460993029",0.363478304285405,"0.33807513795044","1.07514059297282","0.282311787846696",0.627359528548214,"PRJNA375772_Xi_an",-0.295768214717952,1.02272482328876,"ns","k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__mucosae"," s__mucosae","4432270 
  s__mucosae","4432270; s__mucosae",""," 4432270; s__mucosae"," 4432270 
  s__mucosae",0.363478304285405
"123","4388247","1.3374862824399",0.335465287004848,"0.281363818350581","1.19228296293184","0.233150312548946",NA,"PRJNA375772_Xi_an",-0.213194158778785,0.884124732788481,"ns","k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae; g__Leptotrichia; s__"," g__Leptotrichia","4388247 
  g__Leptotrichia","4388247; g__Leptotrichia","*","* 4388247; g__Leptotrichia","* 4388247 
  g__Leptotrichia",0.335465287004848
"73","336228","7.04083803534034",0.291512820506741,"0.269744655376942","1.08069915268342","0.279830960134213",0.339656889542217,"PRJEB26931",-0.234489257478295,0.817514898491778,"ns","k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Dialister; s__"," g__Dialister","336228 
  g__Dialister","336228; g__Dialister","*","* 336228; g__Dialister","* 336228 
  g__Dialister",0.291512820506741
"117","4342220","3.76577829629368",0.284837862742135,"0.365775690067121","0.778722781412474","0.436143033275129",0.640928680201581,"PRJNA375772_Inner_Mongolia",-0.42842473288875,0.998100458373021,"ns","k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__"," g__Prevotella","4342220 
  g__Prevotella","4342220; g__Prevotella","*","* 4342220; g__Prevotella","* 4342220 
  g__Prevotella",0.284837862742135
"167","471157","1.24116461032454",0.270102280431018,"0.189877294417672","1.42250963317855","0.154878356988979",0.219718209481409,"PRJNA481413",-0.100158443683442,0.640363004545479,"ns","k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Slackia; s__"," g__Slackia","471157 
  g__Slackia","471157; g__Slackia","*","* 471157; g__Slackia","* 471157 
  g__Slackia",0.270102280431018
"84","36932","1.64471358505489",-0.232914479538841,"0.275512868639164","-0.845385120082672","0.397895849669529",NA,"PRJNA375772_Inner_Mongolia",-0.770164573385211,0.304335614307529,"ns","k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Vogesella; s__"," g__Vogesella","36932 
  g__Vogesella","36932; g__Vogesella",""," 36932; g__Vogesella"," 36932 
  g__Vogesella",0.232914479538841
"47","1102876","14.7127156978976",-0.148530615195617,"0.390067841663818","-0.380781493193764","0.703365392877721",0.84609474173339,"PRJNA375772_Inner_Mongolia",-0.909162906440063,0.612101676048829,"ns","k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Rothia; s__mucilaginosa"," s__mucilaginosa","1102876 
  s__mucilaginosa","1102876; s__mucilaginosa","*","* 1102876; s__mucilaginosa","* 1102876 
  s__mucilaginosa",0.148530615195617
"41","1087878","30.6835702146781",0.146524405878506,"0.242743587113512","0.603618030123237","0.546097622731652",0.601961471403575,"PRJEB26931",-0.326825588992841,0.619874400749854,"ns","k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__"," g__Actinomyces","1087878 
  g__Actinomyces","1087878; g__Actinomyces","*","* 1087878; g__Actinomyces","* 1087878 
  g__Actinomyces",0.146524405878506
"111","4338372","3.26318725970701",0.137063154967621,"0.283690026869494","0.483144072705363","0.628993442589472",0.681248282435366,"PRJEB26931",-0.416132397427892,0.690258707363134,"ns","k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__"," g__Prevotella","4338372 
  g__Prevotella","4338372; g__Prevotella","*","* 4338372; g__Prevotella","* 4338372 
  g__Prevotella",0.137063154967621
"23","1052622","4.1337027839572",-0.129150244008306,"0.314082317693025","-0.411198710442954","0.680926833784388",0.894084932118262,"PRJNA375772_Xi_an",-0.741610763509705,0.483310275493093,"ns","k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Rothia; s__dentocariosa"," s__dentocariosa","1052622 
  s__dentocariosa","1052622; s__dentocariosa","*","* 1052622; s__dentocariosa","* 1052622 
  s__dentocariosa",0.129150244008306
"198","851961","4.38711843234608",0.105472746152217,"0.367284750182234","0.287168868568285","0.773983022130243",0.889730688545777,"PRJNA375772_Inner_Mongolia",-0.61073251670314,0.821678009007574,"ns","k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__"," g__Prevotella","851961 
  g__Prevotella","851961; g__Prevotella","*","* 851961; g__Prevotella","* 851961 
  g__Prevotella",0.105472746152217
"209","960338","4.62589814186408",-0.00396095347526998,"0.287611960123144","-0.0137718663492786","0.989011987806513",0.99437129244782,"PRJNA375772_Xi_an",-0.5648042757154,0.55688236876486,"ns","k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__"," g__Actinomyces","960338 
  g__Actinomyces","960338; g__Actinomyces",""," 960338; g__Actinomyces"," 960338 
  g__Actinomyces",0.00396095347526998
